file,category,evidence,targets,targets_in_production,sha256
scripts/create_boosters_tables.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.boosters | public.user_boosters | public.active_track_boosts | public.active_artist_boosts | public.user_booster_daily | public.user_booster_pity | public.user_booster_open_history | public.user_booster_pack_claims | public.missions | public.user_missions | public.user_daily_spin | public.user_daily_spin_history,public.boosters | public.user_boosters | public.active_track_boosts | public.active_artist_boosts | public.user_booster_daily | public.user_booster_pity | public.user_booster_open_history | public.user_booster_pack_claims | public.missions | public.user_missions | public.user_daily_spin | public.user_daily_spin_history,f794cf9aaf2d0794fc5f3c1336a10e78c7107186a9a9afa31f834c121fa0c76e
scripts/create_community_tables.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.forum_posts | public.forum_replies | public.forum_post_likes | public.forum_reply_likes | public.faq_items | public.faq_votes | public.update_forum_post_likes_count | public.update_forum_post_replies_count | public.update_forum_reply_likes_count,public.forum_posts | public.forum_replies | public.forum_post_likes | public.forum_reply_likes | public.faq_items | public.faq_votes | public.update_forum_post_likes_count | public.update_forum_post_replies_count | public.update_forum_reply_likes_count,bc57c840b7ac00bb1109b616c5f5be2a7d36635e8a9705508c1221bc309b7bec
scripts/create_credit_ledger.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.credit_ledger | public.ai_add_credits | public.ai_debit_credits | public.ai_grant_welcome_credits | public.ai_grant_monthly_plan_credits,public.credit_ledger | public.ai_add_credits | public.ai_debit_credits | public.ai_grant_welcome_credits | public.ai_grant_monthly_plan_credits,d1ceead4c89e260840ce0055c60b2ad3e2bbc75dd5a73d8d47b6f0625c27737b
scripts/create_editorial_collections_table.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.editorial_collections | public.touch_editorial_collections_updated_at,public.editorial_collections | public.touch_editorial_collections_updated_at,64c9a488f32a527154ce7998d0e5d48c6f53e617fd2838e258d79158c02ebb2d
scripts/create_music_challenges.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.music_challenges | public.challenge_entries | public.update_music_challenges_updated_at,public.music_challenges | public.challenge_entries | public.update_music_challenges_updated_at,f2897e2b23c2d9557c3dd02b5aa3cd9a4fcd4271f7de997341974d4494721a44
scripts/create_music_clips.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.music_clips | public.touch_music_clips_updated_at,public.music_clips | public.touch_music_clips_updated_at,591c71c44c6f2777bb6273155f4ec495939e2e78b026bdbd1a80bf10e1d14437
scripts/create_referrals.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.profiles | public.referrals | public.auto_generate_referral_code,public.profiles | public.referrals | public.auto_generate_referral_code,e80acbf454b450f63de1a5812dfda5d70ab59dfdb95d088ce5afd166c27e15e5
scripts/create_track_remixes.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.track_remixes,public.track_remixes,5a692ca60bc487e289facc96b2d51003df79dde4f1440a16c859ed404f541a92
scripts/create_track_waveforms.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.track_waveforms | public.comments,public.track_waveforms | public.comments,af0e0c3e7033ee12c3c295fea136b3a2351f7f3645ffc7948f19766d44a86b14
scripts/create_user_sync_trigger.sql,E,"script de donnees ponctuel, pas une migration de structure fiable",public.sync_user_to_table,,b8bece932c22aeaea02a6b55c45fa37fbbacf913e9f0e449c5e3b8021536987e
scripts/create_users_table.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.users | public.update_users_updated_at | public.sync_user_to_table,public.users,e49afd22331646d93961166e27b12e22fb1fbce4ba02b1c96c7f2dc12148c8dc
scripts/creator-posts-schema.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.creator_posts | public.post_likes | public.post_comments,public.creator_posts | public.post_likes | public.post_comments,f37dc3746ee1b90a37e6e1b00cd9b871c823a9626d0cbbe8fb9dc82e58a40ef1
scripts/delete_test_user.sql,E,"diagnostic ou operation ponctuelle, non rejouable comme migration",,,3e49b059f4c504a28f3f7dd4038a87443f62d6f44b69f131664264de9c395c61
scripts/delete_test_user_direct.sql,E,"diagnostic ou operation ponctuelle, non rejouable comme migration",,,d4b521db2cd64eed63f769a0af7f38b7648cd041ee3c01cbbcff26c62610d418
scripts/disable_rls_temporarily.sql,E,"diagnostic ou operation ponctuelle, non rejouable comme migration",public.forum_posts | public.forum_replies | public.forum_post_likes | public.forum_reply_likes | public.faq_items | public.faq_votes,public.forum_posts | public.forum_replies | public.forum_post_likes | public.forum_reply_likes | public.faq_items | public.faq_votes,d4a16da0d3880e798d749abf3b8e5b9463fda53c4e52e9e9e485d302d6fe7825
