schema_name,relation_name,relation_kind,owner,persistence,rls_enabled,rls_forced,relation_options,estimated_rows,total_bytes,acl
auth,refresh_tokens_id_seq,sequence,supabase_auth_admin,p,f,f,,1,,"{supabase_auth_admin=rwU/supabase_auth_admin,dashboard_user=rwU/supabase_auth_admin,postgres=rwU/supabase_auth_admin,synaura_app=rwU/supabase_auth_admin}"
auth,audit_log_entries,table,supabase_auth_admin,p,t,f,,1147,630784,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,custom_oauth_providers,table,supabase_auth_admin,p,f,f,,-1,57344,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,flow_state,table,supabase_auth_admin,p,t,f,,2,81920,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,identities,table,supabase_auth_admin,p,t,f,,40,114688,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,instances,table,supabase_auth_admin,p,t,f,,-1,16384,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,mfa_amr_claims,table,supabase_auth_admin,p,t,f,,142,81920,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,mfa_challenges,table,supabase_auth_admin,p,t,f,,2,49152,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,mfa_factors,table,supabase_auth_admin,p,t,f,,1,114688,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,oauth_authorizations,table,supabase_auth_admin,p,f,f,,-1,40960,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,oauth_client_states,table,supabase_auth_admin,p,f,f,,-1,24576,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,oauth_clients,table,supabase_auth_admin,p,f,f,,-1,24576,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,oauth_consents,table,supabase_auth_admin,p,f,f,,-1,49152,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,one_time_tokens,table,supabase_auth_admin,p,t,f,,-1,90112,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,refresh_tokens,table,supabase_auth_admin,p,t,f,,280,221184,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,saml_providers,table,supabase_auth_admin,p,t,f,,-1,32768,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,saml_relay_states,table,supabase_auth_admin,p,t,f,,-1,40960,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
