schema_name,table_name,constraint_name,constraint_type,definition,is_validated,is_deferrable,initially_deferred
auth,oauth_clients,oauth_clients_client_uri_length,check,CHECK (char_length(client_uri) <= 2048),t,f,f
auth,oauth_clients,oauth_clients_logo_uri_length,check,CHECK (char_length(logo_uri) <= 2048),t,f,f
auth,oauth_clients,oauth_clients_token_endpoint_auth_method_check,check,"CHECK (token_endpoint_auth_method = ANY (ARRAY['client_secret_basic'::text, 'client_secret_post'::text, 'none'::text]))",t,f,f
auth,oauth_clients,oauth_clients_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,oauth_consents,oauth_consents_revoked_after_granted,check,CHECK (revoked_at IS NULL OR revoked_at >= granted_at),t,f,f
auth,oauth_consents,oauth_consents_scopes_length,check,CHECK (char_length(scopes) <= 2048),t,f,f
auth,oauth_consents,oauth_consents_scopes_not_empty,check,CHECK (char_length(TRIM(BOTH FROM scopes)) > 0),t,f,f
auth,oauth_consents,oauth_consents_client_id_fkey,foreign_key,FOREIGN KEY (client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE,t,f,f
auth,oauth_consents,oauth_consents_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,oauth_consents,oauth_consents_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,oauth_consents,oauth_consents_user_client_unique,unique,"UNIQUE (user_id, client_id)",t,f,f
auth,one_time_tokens,one_time_tokens_token_hash_check,check,CHECK (char_length(token_hash) > 0),t,f,f
auth,one_time_tokens,one_time_tokens_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,one_time_tokens,one_time_tokens_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,refresh_tokens,refresh_tokens_session_id_fkey,foreign_key,FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE,t,f,f
auth,refresh_tokens,refresh_tokens_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,refresh_tokens,refresh_tokens_token_unique,unique,UNIQUE (token),t,f,f
auth,saml_providers,entity_id not empty,check,CHECK (char_length(entity_id) > 0),t,f,f
auth,saml_providers,metadata_url not empty,check,CHECK (metadata_url = NULL::text OR char_length(metadata_url) > 0),t,f,f
auth,saml_providers,metadata_xml not empty,check,CHECK (char_length(metadata_xml) > 0),t,f,f
auth,saml_providers,saml_providers_sso_provider_id_fkey,foreign_key,FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE,t,f,f
auth,saml_providers,saml_providers_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,saml_providers,saml_providers_entity_id_key,unique,UNIQUE (entity_id),t,f,f
auth,saml_relay_states,request_id not empty,check,CHECK (char_length(request_id) > 0),t,f,f
auth,saml_relay_states,saml_relay_states_flow_state_id_fkey,foreign_key,FOREIGN KEY (flow_state_id) REFERENCES auth.flow_state(id) ON DELETE CASCADE,t,f,f
auth,saml_relay_states,saml_relay_states_sso_provider_id_fkey,foreign_key,FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE,t,f,f
auth,saml_relay_states,saml_relay_states_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,schema_migrations,schema_migrations_pkey,primary_key,PRIMARY KEY (version),t,f,f
auth,sessions,sessions_scopes_length,check,CHECK (char_length(scopes) <= 4096),t,f,f
auth,sessions,sessions_oauth_client_id_fkey,foreign_key,FOREIGN KEY (oauth_client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE,t,f,f
auth,sessions,sessions_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,sessions,sessions_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,sso_domains,domain not empty,check,CHECK (char_length(domain) > 0),t,f,f
auth,sso_domains,sso_domains_sso_provider_id_fkey,foreign_key,FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE,t,f,f
auth,sso_domains,sso_domains_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,sso_providers,resource_id not empty,check,CHECK (resource_id = NULL::text OR char_length(resource_id) > 0),t,f,f
auth,sso_providers,sso_providers_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,users,users_email_change_confirm_status_check,check,CHECK (email_change_confirm_status >= 0 AND email_change_confirm_status <= 2),t,f,f
auth,users,users_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,users,users_phone_key,unique,UNIQUE (phone),t,f,f
auth,webauthn_challenges,webauthn_challenges_challenge_type_check,check,"CHECK (challenge_type = ANY (ARRAY['signup'::text, 'registration'::text, 'authentication'::text]))",t,f,f
auth,webauthn_challenges,webauthn_challenges_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,webauthn_challenges,webauthn_challenges_pkey,primary_key,PRIMARY KEY (id),t,f,f
auth,webauthn_credentials,webauthn_credentials_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
auth,webauthn_credentials,webauthn_credentials_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,account_private,account_private_birthday_visibility_check,check,"CHECK (birthday_visibility = ANY (ARRAY['private'::text, 'friends'::text, 'public'::text]))",t,f,f
public,account_private,account_private_first_name_length,check,CHECK (first_name IS NULL OR char_length(first_name) >= 1 AND char_length(first_name) <= 80),t,f,f
public,account_private,account_private_last_name_length,check,CHECK (last_name IS NULL OR char_length(last_name) >= 1 AND char_length(last_name) <= 80),t,f,f
public,account_private,account_private_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,account_private,account_private_pkey,primary_key,PRIMARY KEY (user_id),t,f,f
public,active_artist_boosts,active_artist_boosts_multiplier_check,check,CHECK (multiplier >= 1.0),t,f,f
public,active_artist_boosts,active_artist_boosts_artist_id_fkey,foreign_key,FOREIGN KEY (artist_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,active_artist_boosts,active_artist_boosts_booster_id_fkey,foreign_key,FOREIGN KEY (booster_id) REFERENCES boosters(id) ON DELETE RESTRICT,t,f,f
public,active_artist_boosts,active_artist_boosts_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL,t,f,f
public,active_artist_boosts,active_artist_boosts_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,active_track_boosts,active_track_boosts_multiplier_check,check,CHECK (multiplier >= 1.0),t,f,f
public,active_track_boosts,active_track_boosts_booster_id_fkey,foreign_key,FOREIGN KEY (booster_id) REFERENCES boosters(id) ON DELETE RESTRICT,t,f,f
public,active_track_boosts,active_track_boosts_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL,t,f,f
public,active_track_boosts,active_track_boosts_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,admin_broadcasts,admin_broadcasts_admin_id_fkey,foreign_key,FOREIGN KEY (admin_id) REFERENCES profiles(id) ON DELETE SET NULL,t,f,f
public,admin_broadcasts,admin_broadcasts_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,ai_credit_balances,ai_credit_balances_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,ai_credit_balances,ai_credit_balances_pkey,primary_key,PRIMARY KEY (user_id),t,f,f
public,ai_generations,ai_generations_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,ai_generations,ai_generations_pkey,primary_key,PRIMARY KEY (id),t,f,f
